group_id,name,event_type,event_date,place,status,no_match_status,profile_id,candidate_decision,exact_date,exact_locality,exact_relatives,missing_for_confirmation,profile_url
fmp-glasgow-2afd2a13c27a,Andrew Glasgow,testament/probate,10 Jul 1598,Calder,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3163,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-3163
fmp-glasgow-3967dc869c05,Rot. Glasgow,marriage,06 Apr 1613,Glasgow,no_wikitree_match_found,no_wikitree_match_found,,no_candidate,,,,,
fmp-glasgow-3f34f6d0bdd6,James Glasgow,apprenticeship,16 Jun 1641,Edinburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-1150,possible_candidate,False,False,True,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge,https://www.wikitree.com/wiki/Glasgow-1150
fmp-glasgow-3f34f6d0bdd6,James Glasgow,apprenticeship,16 Jun 1641,Edinburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3077,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-3077
fmp-glasgow-3f34f6d0bdd6,James Glasgow,apprenticeship,16 Jun 1641,Edinburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3337,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-3337
fmp-glasgow-3f34f6d0bdd6,James Glasgow,apprenticeship,16 Jun 1641,Edinburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3921,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-3921
fmp-glasgow-3f34f6d0bdd6,James Glasgow,apprenticeship,16 Jun 1641,Edinburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3923,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-3923
fmp-glasgow-3f34f6d0bdd6,James Glasgow,apprenticeship,16 Jun 1641,Edinburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-635,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-635
fmp-glasgow-3f34f6d0bdd6,James Glasgow,apprenticeship,16 Jun 1641,Edinburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-991,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-991
fmp-glasgow-46c4603788e4,James Glasgow,baptism,,Inveresk with Musselburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3923,possible_candidate,False,True,True,no exact full event-date bridge,https://www.wikitree.com/wiki/Glasgow-3923
fmp-glasgow-4938dce42a86,Agnes Glasgow,baptism,,Inveresk with Musselburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-993,possible_candidate,False,True,True,no exact full event-date bridge,https://www.wikitree.com/wiki/Glasgow-993
fmp-glasgow-4938dce42a86,Agnes Glasgow,baptism,,Inveresk with Musselburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Thomsone-70,possible_candidate,False,True,False,no exact full event-date bridge; named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Thomsone-70
fmp-glasgow-50e16607a480,Robert Glasgow,burial,23 Mar 1559,Holkham,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-1096,possible_candidate,False,False,False,no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-1096
fmp-glasgow-50e16607a480,Robert Glasgow,burial,23 Mar 1559,Holkham,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-189,possible_candidate,False,False,False,no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-189
fmp-glasgow-50e16607a480,Robert Glasgow,burial,23 Mar 1559,Holkham,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3445,possible_candidate,False,False,False,no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-3445
fmp-glasgow-50e16607a480,Robert Glasgow,burial,23 Mar 1559,Holkham,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3448,possible_candidate,False,False,False,no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-3448
